{'timestamp': '2025-10-29T03:37:21.929189', 'domain': 'mobile.events.data.microsoft.com.', 'resolution_mode': 'iterative', 'server_ip': '150.171.10.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 33.555030822753906, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:21.929189', 'domain': 'mobile.events.data.microsoft.com.', 'resolution_mode': 'iterative', 'server_ip': '150.171.10.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 32.63449668884277, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:21.929189', 'domain': 'mobile.events.data.microsoft.com.', 'resolution_mode': 'iterative', 'server_ip': '150.171.10.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 44.057369232177734, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:21.929189', 'domain': 'mobile.events.data.microsoft.com.', 'resolution_mode': 'iterative', 'server_ip': '150.171.10.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 32.50002861022949, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:21.929189', 'domain': 'mobile.events.data.microsoft.com.', 'resolution_mode': 'iterative', 'server_ip': '150.171.10.39', 'step': 'FINAL', 'response': 'REFERRAL', 'rtt': 32.50002861022949, 'total_time': 611.91725730896, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:22.541495', 'domain': 'mtalk.google.com.', 'resolution_mode': 'iterative', 'server_ip': '198.41.0.4', 'step': 'TLD', 'response': 'REFERRAL', 'rtt': 198.0423927307129, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:22.541495', 'domain': 'mtalk.google.com.', 'resolution_mode': 'iterative', 'server_ip': '192.41.162.30', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 234.94648933410645, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:22.541495', 'domain': 'mtalk.google.com.', 'resolution_mode': 'iterative', 'server_ip': '216.239.34.10', 'step': 'Authoritative', 'response': 'RESPONSE: A=64.233.170.188', 'rtt': 29.108047485351562, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:22.541495', 'domain': 'mtalk.google.com.', 'resolution_mode': 'iterative', 'server_ip': '216.239.34.10', 'step': 'FINAL', 'response': 'RESPONSE: A=64.233.170.188', 'rtt': 29.108047485351562, 'total_time': 465.1460647583008, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:23.007010', 'domain': 'mtalk.google.com.', 'resolution_mode': 'iterative', 'server_ip': '198.41.0.4', 'step': 'TLD', 'response': 'REFERRAL', 'rtt': 222.062349319458, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:23.007010', 'domain': 'mtalk.google.com.', 'resolution_mode': 'iterative', 'server_ip': '192.41.162.30', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 234.92193222045898, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:23.007010', 'domain': 'mtalk.google.com.', 'resolution_mode': 'iterative', 'server_ip': '216.239.34.10', 'step': 'Authoritative', 'response': 'RESPONSE: A=74.125.130.188', 'rtt': 30.06434440612793, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:23.007010', 'domain': 'mtalk.google.com.', 'resolution_mode': 'iterative', 'server_ip': '216.239.34.10', 'step': 'FINAL', 'response': 'RESPONSE: A=74.125.130.188', 'rtt': 30.06434440612793, 'total_time': 490.88358879089355, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:23.498347', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '198.41.0.4', 'step': 'TLD', 'response': 'REFERRAL', 'rtt': 222.25451469421387, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:23.498347', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '192.41.162.30', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 251.2524127960205, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:23.498347', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '216.239.34.10', 'step': 'Authoritative', 'response': 'RESPONSE: A=142.250.71.99', 'rtt': 29.49213981628418, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:23.498347', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '216.239.34.10', 'step': 'FINAL', 'response': 'RESPONSE: A=142.250.71.99', 'rtt': 29.49213981628418, 'total_time': 506.7765712738037, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.005584', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '198.41.0.4', 'step': 'TLD', 'response': 'REFERRAL', 'rtt': 202.93498039245605, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.005584', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '192.41.162.30', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 237.66613006591797, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.005584', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '216.239.34.10', 'step': 'Authoritative', 'response': 'RESPONSE: A=142.250.71.99', 'rtt': 31.795501708984375, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.005584', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '216.239.34.10', 'step': 'FINAL', 'response': 'RESPONSE: A=142.250.71.99', 'rtt': 31.795501708984375, 'total_time': 476.3021469116211, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.482333', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '198.41.0.4', 'step': 'TLD', 'response': 'REFERRAL', 'rtt': 209.70582962036133, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.482333', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '192.55.83.30', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 249.83668327331543, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.482333', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 30.594587326049805, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.482333', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 32.25588798522949, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.482333', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 33.21433067321777, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.482333', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 155.1656723022461, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.482333', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 35.97879409790039, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.482333', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 43.98918151855469, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.482333', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 167.41466522216797, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.482333', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 48.05159568786621, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:24.482333', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'FINAL', 'response': 'REFERRAL', 'rtt': 48.05159568786621, 'total_time': 1015.0511264801025, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:25.497815', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '198.41.0.4', 'step': 'TLD', 'response': 'REFERRAL', 'rtt': 202.26430892944336, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:25.497815', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '192.55.83.30', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 250.30159950256348, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:25.497815', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 52.4139404296875, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:25.497815', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 45.40610313415527, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:25.497815', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 179.98123168945312, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:25.497815', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 32.22179412841797, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:25.497815', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 32.63139724731445, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:25.497815', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 153.9769172668457, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:25.497815', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 45.52268981933594, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:25.497815', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 32.52577781677246, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:25.497815', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'FINAL', 'response': 'REFERRAL', 'rtt': 32.52577781677246, 'total_time': 1036.125659942627, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:26.534451', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '198.41.0.4', 'step': 'TLD', 'response': 'REFERRAL', 'rtt': 174.0565299987793, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:26.534451', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '192.55.83.30', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 247.7736473083496, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:26.534451', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 36.640167236328125, 'total_time': 0.0, 'cache_status': 'MISS'}
